,FIPS,exposure1,exposure2,exposure3,exposure4
0,17019000902,0.00014189029459261344,0.00028768889527370286,0.0005347805128413851,0.0017347380096957312
0,17019001000,7.57313010155663e-05,0.00015354858758565688,0.00028573087144331014,0.000924930085205987
0,17019001100,3.7122361521024964e-05,7.526724224935549e-05,0.00013918615640431188,0.00045407275746049426
0,17019001201,0.00013436147609899218,0.0002724238802748615,0.0005076731160908714,0.0016488242342546115
0,17019001203,7.488185750716452e-05,0.00015182630301904067,0.00028089959756788974,0.0009163444974654692
0,17019001204,5.390819900930239e-05,0.00010930127577583133,0.00020269152921197742,0.0006599431148772058
0,17019001205,0.00014492501687161748,0.00029384192992921396,0.0005434512655447831,0.0017733421697001019
0,17019001206,1.3271873106694354e-05,2.6909314151754902e-05,5.0077529577217895e-05,0.00016257997764319615
0,17019001301,0.000145724365060118,0.0002954626440023578,0.0005465248418046553,0.0017833628678757965
0,17019001302,7.739967533940427e-05,0.0001569312908741799,0.0002903186766330612,0.0009468341714414792
0,17019001400,0.00014661371818241054,0.00029726584708961076,0.0005616800636054727,0.0018113762876371706
0,17019005300,3.911905882410394e-05,7.931563500918526e-05,0.00014730959191214276,0.00047926388621464546
0,17019005401,4.4802203224817924e-05,9.083846353679185e-05,0.00017062014323083606,0.0005456092889845494
